kingdom	phylum	class	subclass	superorder	order
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Asteranae	Apiales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Asteranae	Aquifoliales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Asteranae	Asterales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Asteranae	Boraginales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Asteranae	Cornales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Asteranae	Dipsacales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Asteranae	Ericales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Asteranae	Escalloniales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Asteranae	Gentianales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Asteranae	Lamiales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Asteranae	Solanales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Buxanae	Buxales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Caryophyllanae	Caryophyllales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Ceratophyllanae	Ceratophyllales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Lilianae	Alismatales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Lilianae	Arecales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Lilianae	Asparagales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Lilianae	Commelinales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Lilianae	Dioscoreales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Lilianae	Liliales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Lilianae	Poales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Lilianae	Zingiberales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Magnolianae	Laurales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Magnolianae	Piperales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Myrothamnanae	Gunnerales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Nymphaeanae	Nymphaeales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Proteanae	Proteales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Ranunculanae	Ranunculales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Rosanae	Brassicales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Rosanae	Celastrales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Rosanae	Cucurbitales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Rosanae	Fabales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Rosanae	Fagales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Rosanae	Geraniales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Rosanae	Malpighiales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Rosanae	Malvales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Rosanae	Myrtales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Rosanae	Oxalidales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Rosanae	Rosales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Rosanae	Sapindales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Rosanae	Vitales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Rosanae	Zygophyllales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Santalanae	Santalales
Chlorobionta	Streptophyta	Embryopsidae	Magnoliidae	Saxifraganae	Saxifragales
Chlorobionta	Streptophyta	Embryopsidae	Pinidae		Cupressales
Chlorobionta	Streptophyta	Embryopsidae	Polypodiidae		Cyatheales
Chlorobionta	Streptophyta	Embryopsidae	Gnetidae		Ephedrales
Chlorobionta	Streptophyta	Embryopsidae	Equisetidae		Equisetales
Chlorobionta	Streptophyta	Embryopsidae	Polypodiidae		Hymenophyllales 
Chlorobionta	Streptophyta	Embryopsidae	Lycopodiidae		Isoetales
Chlorobionta	Streptophyta	Embryopsidae	Lycopodiidae		Lycopodiales
Chlorobionta	Streptophyta	Embryopsidae	Ophioglossidae		Ophioglossales
Chlorobionta	Streptophyta	Embryopsidae	Polypodiidae		Osmundales
Chlorobionta	Streptophyta	Embryopsidae	Pinidae		Pinales
Chlorobionta	Streptophyta	Embryopsidae	Polypodiidae		Polypodiales
Chlorobionta	Streptophyta	Embryopsidae	Polypodiidae		Salviniales
Chlorobionta	Streptophyta	Embryopsidae	Lycopodiidae		Selaginellales
