order	family	genus	species	subspecies	variety	form	id	territory:lu	territory:az	territory:ma
Lamiales	Acanthaceae	Acanthus	mollis {L.}				3297	EXOTIC	EXOTIC	EXOTIC
Lamiales	Lamiaceae	Acinos	alpinus {(L.) Moench}				1790	NATIVE		
Lamiales	Lamiaceae	Ajuga	pyramidalis {L.}	pyramidalis {}			604	NATIVE		
Lamiales	Lamiaceae	Ajuga	chamaepitys {(L.) Schreb.}				1791	NATIVE		
Lamiales	Lamiaceae	Ajuga	iva {(L.) Schreb.}		pseudoiva {(DC.) Briq.}		1792	NATIVE		NATIVE
Lamiales	Lamiaceae	Ajuga	iva {(L.) Schreb.}		iva {}		1793	NATIVE		
Lamiales	Lamiaceae	Ajuga	iva {(L.) Schreb.}				1794			
Lamiales	Lamiaceae	Ajuga	pyramidalis {L.}	meonantha {(Hoffmanns. & Link.) R.Fern.}			1795	NATIVE		
Lamiales	Lamiaceae	Ajuga	pyramidalis {L.}				1796			
Lamiales	Lamiaceae	Ajuga	reptans {L.}				1797	NATIVE		
Lamiales	Lamiaceae	Ballota	hirsuta {Benth.}				1798	NATIVE		
Lamiales	Lamiaceae	Ballota	nigra {L.}	foetida {Hayek}			1799	NATIVE		NATIVE
Lamiales	Lamiaceae	Ballota	nigra {L.}	nigra {}			1800	NATIVE		
Lamiales	Lamiaceae	Ballota	nigra {L.}				1801			
Lamiales	Lamiaceae	Ballota	nigra {L.}	uncinata {(Fiori & Bég.) Patzak}			1802	NATIVE	EXOTIC	NATIVE
Lamiales	Lamiaceae	Calamintha	nepeta {(L.) Savi}	nepeta {}			1803	NATIVE	NATIVE	NATIVE
Lamiales	Lamiaceae	Cleonia	lusitanica {(L.) L.}				1804	NATIVE		
Lamiales	Lamiaceae	Clinopodium	vulgare {L.}				1805	NATIVE	NATIVE	NATIVE
Lamiales	Lamiaceae	Galeopsis	tetrahit {L.}	tetrahit {}			1806	NATIVE		
Lamiales	Lamiaceae	Glechoma	hederacea {L.}				1807	NATIVE	EXOTIC	
Lamiales	Lamiaceae	Lamium	amplexicaule {L.}				1808	NATIVE	EXOTIC	NATIVE
Lamiales	Lamiaceae	Lamium	bifidum {Cirillo}				1809	NATIVE		
Lamiales	Lamiaceae	Lamium	gevorense {(Gómez Hern.) Gómez Hern. & A.Pujadas}				1810	NATIVE		
Lamiales	Lamiaceae	Lamium	hybridum {Vill.}				1811	NATIVE		EXOTIC
Lamiales	Lamiaceae	Lamium	maculatum {L.}				1812	NATIVE		
Lamiales	Lamiaceae	Lamium	purpureum {L.}				1813	NATIVE	EXOTIC	NATIVE
Lamiales	Lamiaceae	Lamium	coutinhoi {J.G.Garcia}				3287	ENDEMIC		
Lamiales	Lamiaceae	Lavandula	multifida {L.}				1814	NATIVE		
Lamiales	Lamiaceae	Lavandula	pedunculata {(Mill.) Cav.}	pedunculata {}			1815	NATIVE		
Lamiales	Lamiaceae	Lavandula	stoechas {L.}	luisieri {Rozeira}			1816	NATIVE		
Lamiales	Lamiaceae	Lavandula	stoechas {L.}	stoechas {}			1817	NATIVE		
Lamiales	Lamiaceae	Lavandula	stoechas {L.}				1818			
Lamiales	Lamiaceae	Lavandula	viridis {L'Hér.}				1819	NATIVE	EXOTIC	NATIVE
Lamiales	Lamiaceae	Lavandula	latifolia {Medik.}				3269	EXOTIC		
Lamiales	Lamiaceae	Lavandula	pedunculata {(Mill.) Cav.}	maderensis {(Benth.) Menezes}			3715			ENDEMIC
Lamiales	Lamiaceae	Lavandula	pedunculata {(Mill.) Cav.}				3716			
Lamiales	Lamiaceae	Lavandula	pinnata {L.f.}				3717			NATIVE
Lamiales	Lamiaceae	Lycopus	europaeus {L.}				1820	NATIVE	NATIVE	
Lamiales	Lamiaceae	Marrubium	vulgare {L.}				1821	NATIVE	EXOTIC	NATIVE
Lamiales	Lamiaceae	Melissa	officinalis {L.}				1822	NATIVE		EXOTIC
Lamiales	Lamiaceae	Melittis	melissophyllum {L.}				1823	NATIVE		
Lamiales	Lamiaceae	Mentha	aquatica {L.}				1824	NATIVE	NATIVE	NATIVE
