"taxon"	"Número de pétalas "	"Inserção das folhas"	"Cores principais da flor/inflorescência"	"Espinescência"	"Porte"	"Consistência do fruto"	"Simetria do perianto"
"Acer monspessulanum"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Árvore"	"Fruto seco"	"Simetria radial"
"Acer pseudoplatanus"	"Flores com 4 pétalas,Flores com 5 pétalas"	"Folhas opostas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Árvore"	"Fruto seco"	"Simetria radial"
"Adiantum capillus-veneris"	"NA"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"NA"	"NA"
"Aizoon hispanicum"	"Flores com 4 pétalas,Flores com 5 pétalas"	"Folhas alternas,Folhas opostas"	"Flores creme ou amarelo-limão,Flores brancas,Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Mesembryanthemum nodiflorum"	"Flores com 5 pétalas,Flores com 4 pétalas,Flores com mais de 6 pétalas"	"Folhas opostas,Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Alisma lanceolatum"	"Flores com 3 pétalas"	"Folhas todas basais"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Alisma plantago-aquatica"	"Flores com 3 pétalas"	"Folhas todas basais"	"Flores rosa"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Baldellia alpestris"	"Flores com 3 pétalas"	"Folhas todas basais"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Baldellia repens subsp. baetica"	"Flores com 3 pétalas"	"Folhas todas basais"	"Flores rosa"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Baldellia repens subsp. repens"	"Flores com 3 pétalas"	"Folhas todas basais"	"Flores rosa"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Baldellia repens"	"Flores com 3 pétalas"	"Folhas todas basais"	"Flores rosa"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Damasonium alisma"	"Flores com 3 pétalas"	"Folhas todas basais"	"Flores rosa"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Damasonium bourgaei"	"Flores com 3 pétalas"	"Folhas todas basais"	"Flores rosa"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Damasonium polyspermum"	"Flores com 3 pétalas"	"Folhas todas basais"	"Flores rosa"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Sagittaria sagittifolia"	"Flores com 3 pétalas"	"Folhas todas basais"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Amaranthus blitum subsp. blitum"	"Flores com 3 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Amaranthus graecizans subsp. silvestris"	"Flores com 3 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Leucojum autumnale"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Leucojum trichophyllum"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus asturiensis"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus bulbocodium subsp. obesus"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus bulbocodium subsp. bulbocodium"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus bulbocodium"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus calcicola"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus cavanillesii"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus cyclamineus"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus fernandesii"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus gaditanus"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus jonquilla"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus papyraceus subsp. papyraceus"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus papyraceus subsp. panizzianus"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus papyraceus"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus pseudonarcissus subsp. confusus"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores amarelas,Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus pseudonarcissus subsp. nobilis"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores amarelas,Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus pseudonarcissus"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores amarelas,Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus pseudonarcissus subsp. portensis"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores amarelas,Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus pseudonarcissus subsp. major"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores amarelas,Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus rupicola"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus scaberulus"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus serotinus"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus tazetta subsp. tazetta"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores amarelas,Flores brancas,Flores creme ou amarelo-limão"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus triandrus subsp. pallidulus"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores creme ou amarelo-limão,Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus triandrus subsp. triandrus"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores creme ou amarelo-limão"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus triandrus"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores creme ou amarelo-limão,Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus willkommii"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Pancratium maritimum"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Pistacia lentiscus"	"Flores sem perianto"	"Folhas alternas"	"Flores vermelhas ou alaranjadas"	"Sem espinhos"	"Arbusto ou subarbusto,Árvore"	"Fruto carnudo"	"NA"
"Pistacia terebinthus"	"Flores sem perianto"	"Folhas alternas"	"Flores vermelhas ou alaranjadas"	"Sem espinhos"	"Arbusto ou subarbusto,Árvore"	"Fruto carnudo"	"NA"
"Ammi majus"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial,Ambas as simetrias"
"Ammi visnaga"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Ammoides pusilla"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Angelica major"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Angelica pachycarpa"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores creme ou amarelo-limão"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Angelica sylvestris"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Anthriscus caucalis"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Anthriscus sylvestris"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Apium graveolens"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Apium inundatum"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Apium nodiflorum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Apium repens"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Berula erecta"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Bifora testiculata"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Bunium bulbocastanum"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Bunium macuca subsp. macuca"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Bunium pachypodum"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias"
"Bupleurum acutifolium"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria radial"
"Bupleurum fruticosum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria radial"
"Bupleurum gerardi"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Bupleurum lancifolium"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Bupleurum rigidum subsp. paniculatum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Bupleurum rigidum subsp. rigidum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Bupleurum rigidum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Bupleurum rotundifolium"	"Flores com 5 pétalas"	"Folhas alternas"		"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Bupleurum semicompositum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Bupleurum tenuissimum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Cachrys libanotis"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Cachrys sicula"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Caropsis verticillato-inundata"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
